order_id,user_id,product_id,order_date,quantity,unit_price,discount_amount,gross_amount,refund_amount,net_sales,cost,status,currency,data_source_type
O00020824,U001182,P00314,2025-01-01,1,277.0,13.21,277.0,263.79,0.0,0.0,refunded,TWD,synthetic
O00021474,U000413,P00372,2025-01-01,1,317.0,41.48,317.0,0.0,275.52,158.03,completed,TWD,synthetic
O00021592,U004397,P00674,2025-01-01,1,173.0,10.72,173.0,0.0,162.28,86.81,completed,TWD,synthetic
O00021951,U003195,P00643,2025-01-01,1,313.0,13.75,313.0,0.0,299.25,203.36,completed,TWD,synthetic
O00022089,U005409,P00103,2025-01-01,1,332.0,9.87,332.0,0.0,322.13,168.37,completed,TWD,synthetic
O00022825,U011192,P00385,2025-01-01,2,629.0,0.0,1258.0,0.0,1258.0,735.63,completed,TWD,synthetic
O00022838,U005487,P00402,2025-01-01,1,603.0,39.48,603.0,0.0,563.52,341.53,completed,TWD,synthetic
O00022941,U006802,P00709,2025-01-01,1,623.0,21.3,623.0,0.0,601.7,337.62,completed,TWD,synthetic
O00023255,U003913,P00551,2025-01-01,1,372.0,31.02,372.0,0.0,340.98,199.43,completed,TWD,synthetic
O00023371,U005264,P00530,2025-01-01,1,435.0,11.19,435.0,0.0,423.81,216.3,completed,TWD,synthetic
O00023949,U009447,P00431,2025-01-01,1,494.0,12.16,494.0,0.0,481.84,310.68,completed,TWD,synthetic
