user_id,last_order,frequency,monetary,recency,r_score,f_score,m_score,rfm_segment
U000144,2025-11-05,3,1869.79,56,3,2,2,Potential Loyalists
U000145,2025-12-22,6,2464.0299999999997,9,5,4,3,Champions
U000146,2025-12-13,5,2622.79,18,4,3,3,Potential Loyalists
U000147,2025-10-18,6,6453.800000000001,74,2,4,5,Loyal
U000148,2025-12-26,7,5508.570000000001,5,5,4,5,Champions
U000149,2025-12-14,4,1722.5,17,5,2,2,New & Promising
U000150,2025-08-25,4,1509.02,128,2,2,2,Hibernating
U000151,2025-07-26,4,3038.3,158,1,2,3,Hibernating
U000152,2025-04-25,1,301.71,250,1,1,1,Hibernating
U000153,2025-10-19,4,1533.21,73,2,2,2,Hibernating
U000154,2025-08-22,3,1778.96,131,1,2,2,Hibernating
U000155,2025-12-13,5,3522.77,18,4,3,4,Potential Loyalists
U000156,2025-05-09,3,3193.77,236,1,2,3,Hibernating
U000157,2025-11-11,9,7047.13,50,3,5,5,Loyal
U000159,2025-12-29,6,4918.02,2,5,4,5,Champions
U000160,2025-09-22,5,3264.21,100,2,3,4,At Risk
U000161,2025-10-03,5,2551.41,89,2,3,3,At Risk
U000162,2025-09-28,6,3139.5499999999997,94,2,4,3,Loyal
U000163,2025-12-14,4,2464.4,17,5,2,3,New & Promising
U000164,2025-07-24,3,1628.69,160,1,2,2,Hibernating
U000165,2025-09-24,8,8904.95,98,2,5,5,Loyal
U000166,2025-09-03,1,214.95,119,2,1,1,Hibernating
U000167,2025-10-21,2,914.96,71,2,1,1,Hibernating
U000168,2025-09-17,3,1704.05,105,2,2,2,Hibernating
U000169,2025-11-23,8,2907.0,38,3,5,3,Loyal
U000170,2025-09-09,6,2972.55,113,2,4,3,Loyal
U000171,2025-06-09,2,3693.13,205,1,1,4,Hibernating
U000172,2025-12-23,8,5752.07,8,5,5,5,Champions
U000174,2025-09-25,8,3890.13,97,2,5,4,Loyal
U000175,2025-10-30,4,1986.77,62,3,2,2,Potential Loyalists
U000176,2025-12-18,11,7268.76,13,5,5,5,Champions
U000177,2025-12-07,4,1652.08,24,4,2,2,New & Promising
U000178,2025-07-16,2,1883.52,168,1,1,2,Hibernating
U000179,2025-09-09,5,4690.41,113,2,3,4,At Risk
U000180,2025-12-29,7,4457.32,2,5,4,4,Champions
U000181,2025-11-11,2,1314.28,50,3,1,2,Potential Loyalists
U000182,2025-10-25,5,2218.36,67,3,3,3,Potential Loyalists
U000183,2025-06-20,1,420.52,194,1,1,1,Hibernating
U000184,2025-12-09,1,198.05,22,4,1,1,New & Promising
U000185,2025-10-11,3,1963.71,81,2,2,2,Hibernating
U000186,2025-12-14,6,3834.47,17,5,4,4,Champions
U000187,2025-11-13,9,4461.07,48,3,5,4,Loyal
U000189,2025-09-13,2,1148.4,109,2,1,1,Hibernating
U000190,2025-08-03,2,1749.99,150,1,1,2,Hibernating
U000191,2025-03-07,1,192.7,299,1,1,1,Hibernating
U000192,2025-10-19,5,1871.55,73,2,3,2,At Risk
U000193,2025-04-10,1,1629.53,265,1,1,2,Hibernating
U000194,2025-12-14,6,4987.41,17,5,4,5,Champions
U000195,2025-09-30,1,707.28,92,2,1,1,Hibernating
U000196,2025-10-15,2,449.86,77,2,1,1,Hibernating
U000197,2025-12-11,6,2960.21,20,4,4,3,Champions
U000198,2025-05-20,3,2141.3,225,1,2,3,Hibernating
U000199,2025-11-30,7,3717.8,31,4,4,4,Champions
U000200,2025-12-18,12,11086.4,13,5,5,5,Champions
U000201,2025-11-29,3,2978.43,32,4,2,3,New & Promising
U000202,2025-11-13,5,2109.5,48,3,3,2,Potential Loyalists
U000203,2025-11-25,5,4101.07,36,4,3,4,Potential Loyalists
U000204,2025-06-24,5,3455.96,190,1,3,4,At Risk
U000205,2025-02-28,1,2158.12,306,1,1,3,Hibernating
U000207,2025-10-03,3,1665.3600000000001,89,2,2,2,Hibernating
U000208,2025-12-02,10,7903.33,29,4,5,5,Champions
U000209,2025-12-08,9,8952.1,23,4,5,5,Champions
U000210,2025-08-19,3,2611.92,134,1,2,3,Hibernating
U000211,2025-10-07,8,5000.17,85,2,5,5,Loyal
U000212,2025-11-30,6,3153.94,31,4,4,3,Champions
U000213,2025-12-17,4,4042.66,14,5,2,4,New & Promising
U000215,2025-12-17,10,6113.52,14,5,5,5,Champions
U000216,2025-10-04,6,2507.7799999999997,88,2,4,3,Loyal
U000217,2025-10-22,3,1332.7199999999998,70,2,2,2,Hibernating
U000219,2025-12-28,3,1608.46,3,5,2,2,New & Promising
U000220,2025-12-24,4,1690.4,7,5,2,2,New & Promising
U000221,2025-12-19,5,2801.0299999999997,12,5,3,3,Potential Loyalists
U000222,2025-12-22,3,2404.83,9,5,2,3,New & Promising
U000223,2025-09-28,6,4919.38,94,2,4,5,Loyal
U000224,2025-11-20,1,582.4,41,3,1,1,Potential Loyalists
U000225,2025-11-30,3,1240.69,31,4,2,2,New & Promising
U000226,2025-04-02,1,411.0,273,1,1,1,Hibernating
U000227,2025-11-13,9,5863.72,48,3,5,5,Loyal
U000228,2025-02-26,3,1537.6,308,1,2,2,Hibernating
U000229,2025-12-27,4,3358.24,4,5,2,4,New & Promising
U000230,2025-05-25,1,212.46,220,1,1,1,Hibernating
U000231,2025-12-30,7,3584.13,1,5,4,4,Champions
U000232,2025-12-12,8,4868.62,19,4,5,5,Champions
U000233,2025-10-16,6,3637.9700000000003,76,2,4,4,Loyal
U000235,2025-04-16,4,2002.15,259,1,2,2,Hibernating
U000236,2025-12-18,10,4964.38,13,5,5,5,Champions
U000237,2025-09-29,2,1005.9300000000001,93,2,1,1,Hibernating
U000238,2025-12-14,3,1899.29,17,5,2,2,New & Promising
U000240,2025-12-27,5,3259.16,4,5,3,4,Potential Loyalists
U000241,2025-07-12,4,1787.3400000000001,172,1,2,2,Hibernating
U000242,2025-12-15,7,3086.66,16,5,4,3,Champions
U000243,2025-11-26,2,1178.33,35,4,1,1,New & Promising
U000244,2025-12-30,8,4649.24,1,5,5,4,Champions
U000245,2025-12-19,7,2552.3900000000003,12,5,4,3,Champions
U000246,2025-11-11,14,8217.97,50,3,5,5,Loyal
U000247,2025-12-21,3,3050.84,10,5,2,3,New & Promising
U000248,2025-12-27,12,7608.54,4,5,5,5,Champions
U000249,2025-12-09,10,6910.48,22,4,5,5,Champions
U000250,2025-11-23,11,5773.2,38,3,5,5,Loyal
U000251,2025-12-11,5,2295.0699999999997,20,4,3,3,Potential Loyalists
U000252,2025-12-13,5,4606.04,18,4,3,4,Potential Loyalists
U000253,2025-01-08,1,1072.11,357,1,1,1,Hibernating
U000254,2025-08-28,2,1593.63,125,2,1,2,Hibernating
U000255,2025-07-09,3,2473.54,175,1,2,3,Hibernating
U000256,2025-10-26,6,4621.12,66,3,4,4,Loyal
U000257,2025-12-14,3,1852.69,17,5,2,2,New & Promising
U000258,2025-12-11,8,5470.95,20,4,5,5,Champions
U000259,2025-04-12,3,1834.49,263,1,2,2,Hibernating
U000260,2025-11-09,5,2574.76,52,3,3,3,Potential Loyalists
U000261,2025-12-12,3,1999.2800000000002,19,4,2,2,New & Promising
U000262,2025-10-26,3,2223.72,66,3,2,3,Potential Loyalists
U000263,2025-12-21,3,1756.1599999999999,10,5,2,2,New & Promising
U000264,2025-11-18,2,860.4200000000001,43,3,1,1,Potential Loyalists
U000265,2025-11-11,3,1616.82,50,3,2,2,Potential Loyalists
U000266,2025-08-19,10,6676.94,134,1,5,5,Loyal
U000267,2025-04-10,2,1337.1,265,1,1,2,Hibernating
U000268,2025-11-28,2,1063.54,33,4,1,1,New & Promising
U000269,2025-12-13,9,4312.29,18,4,5,4,Champions
U000270,2025-11-17,12,7905.28,44,3,5,5,Loyal
U000271,2025-12-25,4,2947.34,6,5,2,3,New & Promising
U000272,2025-09-28,11,9588.53,94,2,5,5,Loyal
U000273,2025-11-30,8,3614.89,31,4,5,4,Champions
U000274,2025-12-01,9,5185.27,30,4,5,5,Champions
U000275,2025-12-13,6,4291.57,18,4,4,4,Champions
U000276,2025-11-23,6,2919.62,38,3,4,3,Loyal
U000277,2025-05-07,2,830.1700000000001,238,1,1,1,Hibernating
U000278,2025-08-24,3,2428.45,129,1,2,3,Hibernating
U000279,2025-12-22,8,3388.46,9,5,5,4,Champions
U000280,2025-12-27,7,4099.95,4,5,4,4,Champions
U000281,2025-11-29,8,3780.91,32,4,5,4,Champions
U000282,2025-09-28,6,3709.56,94,2,4,4,Loyal
U000283,2025-11-29,7,4349.66,32,4,4,4,Champions
U000284,2025-10-19,4,2510.65,73,2,2,3,Hibernating
U000285,2025-06-14,2,1420.63,200,1,1,2,Hibernating
U000286,2025-11-30,5,2570.11,31,4,3,3,Potential Loyalists
U000287,2025-12-03,4,2708.2200000000003,28,4,2,3,New & Promising
U000288,2025-11-03,4,3512.8900000000003,58,3,2,4,Potential Loyalists
U000289,2025-12-13,10,5124.280000000001,18,4,5,5,Champions
U000290,2025-10-31,5,1789.8,61,3,3,2,Potential Loyalists
U000291,2025-12-25,1,335.23,6,5,1,1,New & Promising
U000292,2025-12-12,7,5377.64,19,4,4,5,Champions
U000293,2025-10-29,5,2379.09,63,3,3,3,Potential Loyalists
U000294,2025-10-25,3,893.54,67,3,2,1,Potential Loyalists
U000295,2025-12-30,9,8641.869999999999,1,5,5,5,Champions
U000296,2025-09-10,2,1817.17,112,2,1,2,Hibernating
U000298,2025-11-19,5,4899.14,42,3,3,5,Potential Loyalists
U000299,2025-12-07,6,3353.8,24,4,4,4,Champions
U000300,2025-07-26,2,3162.29,158,1,1,3,Hibernating
U000301,2025-08-16,6,3903.61,137,1,4,4,Loyal
U000302,2025-06-22,4,2151.64,192,1,2,3,Hibernating
U000303,2025-08-11,3,1241.85,142,1,2,2,Hibernating
U000304,2025-10-11,5,5760.83,81,2,3,5,At Risk
U000305,2025-12-25,11,6258.74,6,5,5,5,Champions
U000306,2025-11-16,2,1472.0300000000002,45,3,1,2,Potential Loyalists
U000307,2025-12-26,10,5617.47,5,5,5,5,Champions
U000308,2025-06-17,4,1633.94,197,1,2,2,Hibernating
U000309,2025-05-14,2,869.4300000000001,231,1,1,1,Hibernating
U000310,2025-12-11,5,2515.35,20,4,3,3,Potential Loyalists
U000311,2025-07-12,2,739.64,172,1,1,1,Hibernating
U000313,2025-11-18,4,3498.76,43,3,2,4,Potential Loyalists
U000314,2025-11-25,12,9169.48,36,4,5,5,Champions
U000315,2025-10-01,7,4015.41,91,2,4,4,Loyal
U000316,2025-08-05,1,325.34,148,1,1,1,Hibernating
U000317,2025-11-12,6,3639.5600000000004,49,3,4,4,Loyal
U000318,2025-03-23,2,783.0,283,1,1,1,Hibernating
U000319,2025-10-07,7,4892.59,85,2,4,5,Loyal
U000320,2025-06-29,3,1062.3799999999999,185,1,2,1,Hibernating
U000321,2025-12-22,5,5007.62,9,5,3,5,Potential Loyalists
U000322,2025-10-11,13,7199.2,81,2,5,5,Loyal
U000323,2025-08-17,4,2191.45,136,1,2,3,Hibernating
U000324,2025-12-28,5,1401.15,3,5,3,2,Potential Loyalists
U000325,2025-09-22,2,1441.17,100,2,1,2,Hibernating
U000326,2025-11-24,5,3327.2200000000003,37,4,3,4,Potential Loyalists
U000328,2025-11-01,7,4724.39,60,3,4,4,Loyal
U000329,2025-10-22,1,780.12,70,2,1,1,Hibernating
U000330,2025-12-13,8,3804.13,18,4,5,4,Champions
U000331,2025-12-31,8,8629.43,0,5,5,5,Champions
U000332,2025-11-23,5,2380.23,38,3,3,3,Potential Loyalists
U000333,2025-11-24,3,1772.9199999999998,37,4,2,2,New & Promising
U000334,2025-11-03,3,3213.84,58,3,2,4,Potential Loyalists
U000335,2025-12-30,4,2188.33,1,5,2,3,New & Promising
U000336,2025-04-06,1,152.74,269,1,1,1,Hibernating
U000337,2025-12-09,1,2446.95,22,4,1,3,New & Promising
U000338,2025-12-27,11,7410.05,4,5,5,5,Champions
U000339,2025-06-26,2,674.3499999999999,188,1,1,1,Hibernating
U000340,2025-10-20,6,2441.4,72,2,4,3,Loyal
U000341,2025-09-20,1,165.08,102,2,1,1,Hibernating
U000342,2025-10-06,8,4549.62,86,2,5,4,Loyal
U000343,2025-08-02,1,219.67,151,1,1,1,Hibernating
U000345,2025-12-28,12,9366.2,3,5,5,5,Champions
U000346,2025-11-08,6,1830.71,53,3,4,2,Loyal
U000347,2025-12-20,7,3158.12,11,5,4,3,Champions
U000348,2025-12-11,4,2681.38,20,4,2,3,New & Promising
U000349,2025-12-19,7,10309.23,12,5,4,5,Champions
U000350,2025-12-13,3,981.76,18,4,2,1,New & Promising
U000351,2025-11-12,3,1165.31,49,3,2,1,Potential Loyalists
U000352,2025-12-31,8,5267.82,0,5,5,5,Champions
U000353,2025-09-13,5,2361.39,109,2,3,3,At Risk
U000354,2025-11-12,5,3430.7,49,3,3,4,Potential Loyalists
U000355,2025-12-30,1,306.39,1,5,1,1,New & Promising
U000356,2025-12-21,16,6080.74,10,5,5,5,Champions
U000357,2025-12-30,10,6727.780000000001,1,5,5,5,Champions
U000358,2025-09-21,5,3396.0,101,2,3,4,At Risk
U000359,2025-09-05,3,1237.01,117,2,2,2,Hibernating
U000360,2025-11-11,4,2409.1800000000003,50,3,2,3,Potential Loyalists
U000361,2025-11-10,8,3731.2999999999997,51,3,5,4,Loyal
U000362,2025-12-25,8,5552.26,6,5,5,5,Champions
U000363,2025-10-11,2,1107.83,81,2,1,1,Hibernating
U000364,2025-12-16,4,2651.27,15,5,2,3,New & Promising
U000365,2025-11-23,8,5689.02,38,3,5,5,Loyal
U000366,2025-12-06,14,7305.62,25,4,5,5,Champions
U000367,2025-10-09,7,7306.98,83,2,4,5,Loyal
U000368,2025-08-07,6,3463.56,146,1,4,4,Loyal
U000369,2025-06-17,4,3204.59,197,1,2,4,Hibernating
U000370,2025-11-19,4,3222.84,42,3,2,4,Potential Loyalists
U000371,2025-09-29,6,4794.570000000001,93,2,4,5,Loyal
U000372,2025-10-20,7,4071.5699999999997,72,2,4,4,Loyal
U000373,2025-12-22,2,1625.45,9,5,1,2,New & Promising
U000374,2025-12-11,7,5742.360000000001,20,4,4,5,Champions
U000375,2025-08-08,5,2616.19,145,1,3,3,At Risk
U000376,2025-12-10,9,5481.62,21,4,5,5,Champions
U000377,2025-12-13,8,5505.9,18,4,5,5,Champions
U000378,2025-10-08,4,2237.48,84,2,2,3,Hibernating
U000379,2025-11-09,2,1429.85,52,3,1,2,Potential Loyalists
U000380,2025-10-27,4,2524.01,65,3,2,3,Potential Loyalists
U000381,2025-12-25,3,5581.38,6,5,2,5,New & Promising
U000382,2025-12-17,8,5184.4,14,5,5,5,Champions
U000383,2025-10-17,3,1445.17,75,2,2,2,Hibernating
U000384,2025-12-08,4,3418.1800000000003,23,4,2,4,New & Promising
U000385,2025-07-17,7,3712.35,167,1,4,4,Loyal
U000387,2025-09-09,1,253.63,113,2,1,1,Hibernating
U000388,2025-11-25,8,4285.84,36,4,5,4,Champions
U000389,2025-08-10,2,1502.1399999999999,143,1,1,2,Hibernating
U000390,2025-09-15,8,4778.49,107,2,5,5,Loyal
U000391,2025-12-21,4,1658.43,10,5,2,2,New & Promising
U000392,2025-06-26,3,1425.13,188,1,2,2,Hibernating
U000393,2025-09-09,5,2719.78,113,2,3,3,At Risk
U000394,2025-09-07,2,1913.5700000000002,115,2,1,2,Hibernating
U000395,2025-12-19,2,1479.52,12,5,1,2,New & Promising
U000396,2025-10-30,8,4651.17,62,3,5,4,Loyal
U000397,2025-02-15,5,2704.44,319,1,3,3,At Risk
U000398,2025-03-02,1,210.48,304,1,1,1,Hibernating
U000399,2025-11-08,2,740.42,53,3,1,1,Potential Loyalists
U000400,2025-07-02,1,138.82,182,1,1,1,Hibernating
U000401,2025-12-22,7,3725.4700000000003,9,5,4,4,Champions
U000402,2025-11-17,11,5834.91,44,3,5,5,Loyal
U000403,2025-11-05,5,1909.27,56,3,3,2,Potential Loyalists
U000404,2025-12-13,12,8348.39,18,4,5,5,Champions
U000405,2025-01-30,1,384.96,335,1,1,1,Hibernating
U000406,2025-12-03,5,2519.2,28,4,3,3,Potential Loyalists
U000407,2025-12-26,7,4154.08,5,5,4,4,Champions
U000408,2025-11-09,5,4414.15,52,3,3,4,Potential Loyalists
U000409,2025-11-06,9,6207.31,55,3,5,5,Loyal
U000410,2025-09-07,1,536.0,115,2,1,1,Hibernating
U000411,2025-06-25,3,1679.48,189,1,2,2,Hibernating
U000412,2025-11-01,4,1731.13,60,3,2,2,Potential Loyalists
U000413,2025-10-04,7,3526.04,88,2,4,4,Loyal
U000414,2025-07-24,2,1765.69,160,1,1,2,Hibernating
U000415,2025-11-24,1,348.0,37,4,1,1,New & Promising
U000416,2025-12-27,9,4919.3,4,5,5,5,Champions
U000417,2025-11-11,1,375.95,50,3,1,1,Potential Loyalists
U000418,2025-12-13,4,1370.4,18,4,2,2,New & Promising
U000419,2025-12-31,15,8386.21,0,5,5,5,Champions
U000420,2025-12-21,5,4638.0199999999995,10,5,3,4,Potential Loyalists
U000422,2025-12-28,7,4538.51,3,5,4,4,Champions
U000423,2025-11-11,4,2315.85,50,3,2,3,Potential Loyalists
U000424,2025-12-21,8,6065.12,10,5,5,5,Champions
U000425,2025-10-28,5,4426.63,64,3,3,4,Potential Loyalists
U000426,2025-11-29,7,3645.76,32,4,4,4,Champions
U000427,2025-12-13,9,6114.83,18,4,5,5,Champions
U000431,2025-12-13,13,7596.85,18,4,5,5,Champions
U000432,2025-08-16,2,1052.96,137,1,1,1,Hibernating
U000433,2025-11-11,7,4657.36,50,3,4,4,Loyal
U000434,2025-12-29,3,930.05,2,5,2,1,New & Promising
U000435,2025-08-10,2,1234.44,143,1,1,2,Hibernating
U000436,2025-12-31,5,2684.16,0,5,3,3,Potential Loyalists
U000437,2025-09-08,4,2192.93,114,2,2,3,Hibernating
U000438,2025-09-10,2,1305.1599999999999,112,2,1,2,Hibernating
U000439,2025-12-20,3,2420.69,11,5,2,3,New & Promising
U000440,2025-10-18,1,1084.33,74,2,1,1,Hibernating
U000441,2025-07-02,4,1607.41,182,1,2,2,Hibernating
U000443,2025-05-31,3,2035.1399999999999,214,1,2,2,Hibernating
U000444,2025-04-09,1,261.68,266,1,1,1,Hibernating
U000445,2025-11-01,3,1863.2,60,3,2,2,Potential Loyalists
U000446,2025-10-31,3,1724.09,61,3,2,2,Potential Loyalists
U000447,2025-12-23,8,3962.65,8,5,5,4,Champions
U000448,2025-12-25,7,3275.31,6,5,4,4,Champions
U000449,2025-12-28,2,1139.9,3,5,1,1,New & Promising
U000450,2025-12-13,3,2591.08,18,4,2,3,New & Promising
U000451,2025-07-29,1,1044.75,155,1,1,1,Hibernating
U000452,2025-06-09,3,2134.82,205,1,2,3,Hibernating
U000453,2025-11-12,8,4641.98,49,3,5,4,Loyal
U000454,2025-05-14,2,897.97,231,1,1,1,Hibernating
U000455,2025-10-12,6,1432.6200000000001,80,2,4,2,Loyal
