product_id,product_name,category,hot_score,opportunity_score,price,net_sales,units,cost,gross_profit,gross_margin
P00031,Skincare Essential 0031,Skincare,66.51,41.79,1030,136111.76,142,83243.67,52868.09000000001,0.38841676869067016
P00625,Skincare Essential 0625,Skincare,73.47,43.65,900,136010.3,161,82756.4,53253.899999999994,0.39154314048274286
P00724,Wellness Essential 0724,Wellness,65.71,65.41,716,135848.24,204,80364.48,55483.759999999995,0.4084245773077369
P00299,Skincare Essential 0299,Skincare,45.18,30.72,1318,133654.41,108,81224.2,52430.21000000001,0.3922819306897543
P00199,Fashion Accessories Essential 0199,Fashion Accessories,63.79,56.97,1121,129380.59,123,66134.47,63246.119999999995,0.48883777698030284
P00260,Skincare Essential 0260,Skincare,76.14,48.65,565,128800.04,243,78124.0,50676.03999999999,0.39344739333931883
P00006,Wellness Essential 0006,Wellness,54.62,53.8,1241,127730.8,110,75168.75,52562.05,0.41150646515953865
P00272,Skincare Essential 0272,Skincare,44.19,30.67,1589,127313.63,85,76728.03,50585.600000000006,0.39733059217618727
P00491,Wellness Essential 0491,Wellness,74.72,68.1,770,126002.52,174,73738.48,52264.04000000001,0.4147856725405175
P00096,Skincare Essential 0096,Skincare,77.92,52.18,572,125895.17,235,76356.38,49538.78999999999,0.3934923794137614
P00509,Fashion Accessories Essential 0509,Fashion Accessories,57.64,56.87,1056,125761.45,127,64439.02,61322.43,0.4876091202828848
P00428,Skincare Essential 0428,Skincare,77.24,51.27,553,124757.08,241,76054.88,48702.2,0.3903762415728229
P00775,Makeup Essential 0775,Makeup,75.13,59.97,577,124485.88,229,68577.27,55908.61,0.449116076457828
P00569,Skincare Essential 0569,Skincare,60.53,39.9,757,123574.05,174,74627.51,48946.54000000001,0.3960907650109388
P00339,Skincare Essential 0339,Skincare,67.62,42.01,663,123308.8,199,75472.98,47835.82000000001,0.3879351676441585
P00483,Skincare Essential 0483,Skincare,83.07,60.55,395,123009.4,333,75196.16,47813.23999999999,0.3886958232460283
P00470,Hair Care Essential 0470,Hair Care,60.91,71.35,792,122664.69,166,81838.86,40825.83,0.33282462948383923
P00111,Skincare Essential 0111,Skincare,86.28,53.76,604,122567.70999999999,219,75440.19,47127.51999999999,0.3845019214277561
P00108,Fashion Accessories Essential 0108,Fashion Accessories,79.19,80.05,396,122445.98,332,63199.33,59246.649999999994,0.48385949461141964
P00488,Fashion Accessories Essential 0488,Fashion Accessories,73.78,66.36,689,121445.79000000001,188,62266.02,59179.77000000001,0.4872937135161294
P00604,Makeup Essential 0604,Makeup,78.19,52.12,411,118345.84,308,65936.41,52409.42999999999,0.44284978669296693
P00709,Wellness Essential 0709,Wellness,75.27,67.93,623,118012.59,203,69052.27,48960.31999999999,0.4148737011873055
P00764,Hair Care Essential 0764,Hair Care,82.36,82.44,332,114046.09,366,75400.52,38645.56999999999,0.3388592278788338
P00504,Fashion Accessories Essential 0504,Fashion Accessories,66.71,60.21,941,111562.8,127,57163.08,54399.72,0.4876152265809033
P00185,Skincare Essential 0185,Skincare,64.8,41.75,713,109870.54,164,66761.55,43108.98999999999,0.39236168312270053
P00533,Skincare Essential 0533,Skincare,60.59,36.9,961,108519.98,121,66342.98,42177.0,0.38865654048222276
P00295,Makeup Essential 0295,Makeup,78.31,52.96,430,108170.79,269,60217.78,47953.009999999995,0.44330830901761925
P00232,Fashion Accessories Essential 0232,Fashion Accessories,54.36,54.53,1033,107882.46,112,55707.67,52174.79000000001,0.48362625398048953
P00402,Skincare Essential 0402,Skincare,65.45,43.64,603,106940.0,189,65125.45,41814.55,0.3910094445483449
P00315,Fashion Accessories Essential 0315,Fashion Accessories,76.58,77.59,476,106646.38,241,55178.01,51468.37,0.48260775471234935
P00577,Skincare Essential 0577,Skincare,66.84,46.45,601,106009.83,189,64678.13,41331.700000000004,0.38988554174645884
P00644,Wellness Essential 0644,Wellness,52.88,55.24,1144,105981.73,99,62014.58,43967.149999999994,0.4148559379055239
P00688,Wellness Essential 0688,Wellness,49.05,52.23,1486,105874.22,77,62936.409999999996,42937.810000000005,0.40555491223453644
P00489,Hair Care Essential 0489,Hair Care,64.6,69.1,633,104841.16,177,69298.61,35542.55,0.3390133226301579
P00014,Fashion Accessories Essential 0014,Fashion Accessories,72.62,75.1,485,104738.56,232,54089.95,50648.61,0.4835717619184377
P00693,Feminine Care Essential 0693,Feminine Care,80.03,83.67,429,103742.68,259,73390.03,30352.649999999994,0.2925763051426857
P00409,Wellness Essential 0409,Wellness,50.24,53.76,1321,101682.36,83,60622.16,41060.2,0.4038084875292037
P00496,Makeup Essential 0496,Makeup,69.56,55.08,612,100196.46,175,55632.42,44564.04000000001,0.4447666115150177
P00119,Fashion Accessories Essential 0119,Fashion Accessories,65.91,59.9,615,99995.29,174,51398.48,48596.80999999999,0.4859909901756372
P00140,Fashion Accessories Essential 0140,Fashion Accessories,48.22,48.79,1336,99622.18,79,50955.05,48667.12999999999,0.4885170149860201
P00501,Hair Care Essential 0501,Hair Care,62.65,69.09,818,99232.71,129,65199.04,34033.670000000006,0.3429682611711401
P00165,Fashion Accessories Essential 0165,Fashion Accessories,52.2,53.78,790,99155.14,134,50815.26,48339.88,0.4875176415463686
P00539,Wellness Essential 0539,Wellness,73.21,70.86,617,98886.63,172,58489.04,40397.590000000004,0.40852428685253
P00280,Fashion Accessories Essential 0280,Fashion Accessories,63.0,62.11,713,96757.48,145,49404.36,47353.119999999995,0.48940009599257855
P00747,Hair Care Essential 0747,Hair Care,56.77,64.56,1000,96714.62,104,64391.38,32323.239999999998,0.3342125523524778
P00609,Wellness Essential 0609,Wellness,58.67,63.06,775,95756.88,133,56584.2,39172.68000000001,0.40908475714747605
P00436,Skincare Essential 0436,Skincare,70.25,47.82,597,94882.69,169,57610.03,37272.66,0.3928288711038863
P00367,Skincare Essential 0367,Skincare,79.1,54.72,458,93916.11,220,57688.76,36227.35,0.3857415942802571
P00571,Wellness Essential 0571,Wellness,80.65,71.56,530,93914.38,189,55076.31,38838.07000000001,0.41354763775259984
P00581,Fashion Accessories Essential 0581,Fashion Accessories,50.85,48.28,1108,93752.3,91,48202.14,45550.16,0.4858564536550037
P00716,Wellness Essential 0716,Wellness,63.7,64.5,773,93076.31,130,55309.85,37766.46,0.4057580280094903
P00595,Fashion Accessories Essential 0595,Fashion Accessories,61.77,57.5,1144,92439.25,87,47639.49,44799.76,0.4846400203376813
P00053,Fashion Accessories Essential 0053,Fashion Accessories,62.66,58.87,832,92392.57,118,46973.93,45418.64000000001,0.49158325177013695
P00643,Feminine Care Essential 0643,Feminine Care,81.37,85.67,313,91690.41,312,64402.090000000004,27288.32,0.2976136762830486
P00652,Skincare Essential 0652,Skincare,59.24,35.63,719,90808.87,134,54935.17,35873.7,0.3950462107941658
P00145,Makeup Essential 0145,Makeup,57.58,45.11,464,90424.73,207,50076.47,40348.259999999995,0.44620824413852267
P00788,Skincare Essential 0788,Skincare,66.0,44.24,557,89654.99,171,54126.62,35528.37,0.39627877935182415
P00235,Skincare Essential 0235,Skincare,54.17,33.51,774,89097.89,123,54205.22,34892.67,0.39162173200734607
P00673,Skincare Essential 0673,Skincare,56.8,40.8,663,88348.28,143,54250.72,34097.56,0.38594480843316925
P00495,Wellness Essential 0495,Wellness,70.65,75.9,443,88285.67,213,52050.13,36235.54,0.4104351249755481
P00223,Fashion Accessories Essential 0223,Fashion Accessories,49.43,54.38,583,87126.23,159,44348.64,42777.59,0.49098405841731013
P00193,Skincare Essential 0193,Skincare,75.04,46.51,595,86496.16,155,52635.86,33860.3,0.39146593328536206
P00701,Makeup Essential 0701,Makeup,66.04,51.44,637,86286.86,145,48097.35,38189.51,0.4425877821953424
P00403,Wellness Essential 0403,Wellness,80.21,81.96,371,85538.94,247,50643.02,34895.920000000006,0.40795361738174457
P00704,Skincare Essential 0704,Skincare,65.11,41.48,706,85158.81,129,51843.15,33315.659999999996,0.39121800786084254
P00482,Makeup Essential 0482,Makeup,51.12,47.36,688,84297.51,130,46545.53,37751.979999999996,0.44784217232513746
P00279,Fashion Accessories Essential 0279,Fashion Accessories,60.19,57.39,797,84235.3,112,43172.32,41062.98,0.48747947713132145
P00583,Wellness Essential 0583,Wellness,73.98,80.06,409,83924.34,218,49137.89,34786.45,0.4144977488056504
P00546,Skincare Essential 0546,Skincare,67.21,44.07,580,83908.83,154,51116.03,32792.8,0.3908146496620201
P00311,Hair Care Essential 0311,Hair Care,68.74,71.44,524,83000.86,168,54440.08,28560.78,0.3441022177360572
P00468,Makeup Essential 0468,Makeup,57.48,49.16,572,82753.4,154,45768.5,36984.899999999994,0.4469290687754219
P00619,Fashion Accessories Essential 0619,Fashion Accessories,67.12,57.76,821,82740.88,108,42304.75,40436.130000000005,0.4887080002049773
P00139,Hair Care Essential 0139,Hair Care,68.78,73.93,378,82710.56999999999,234,54844.04,27866.52999999999,0.3369161885838774
P00422,Makeup Essential 0422,Makeup,69.76,53.49,562,82530.72,157,46026.6,36504.12,0.4423094818511216
P00310,Wellness Essential 0310,Wellness,83.79,90.21,297,82335.5,294,48084.07,34251.43,0.41599832393074676
P00154,Feminine Care Essential 0154,Feminine Care,86.16,82.11,250,82147.14,350,57940.91,24206.229999999996,0.2946691753358668
P00722,Wellness Essential 0722,Wellness,73.15,82.97,365,82112.61,240,48233.91,33878.7,0.4125882735915957
P00045,Wellness Essential 0045,Wellness,55.86,60.59,549,82089.33,159,47937.3,34152.03,0.4160349463200637
P00393,Fashion Accessories Essential 0393,Fashion Accessories,55.23,50.52,770,81256.56,112,41395.22,39861.34,0.49056150051146635
P00189,Skincare Essential 0189,Skincare,57.64,36.5,714,81199.24,121,49277.83,31921.410000000003,0.3931244922982038
P00187,Wellness Essential 0187,Wellness,67.21,78.76,401,81148.53,216,47569.65,33578.88,0.4137952961070274
P00172,Fashion Accessories Essential 0172,Fashion Accessories,68.3,70.86,419,80570.31,206,41379.65,39190.659999999996,0.4864156536073896
P00207,Fashion Accessories Essential 0207,Fashion Accessories,50.34,54.5,757,78945.82,112,40672.33,38273.490000000005,0.48480704868224817
P00425,Fashion Accessories Essential 0425,Fashion Accessories,61.69,59.2,623,78640.12,135,40322.4,38317.719999999994,0.4872540886255005
P00500,Wellness Essential 0500,Wellness,71.78,73.91,435,78554.89,194,46371.43,32183.46,0.40969390957074725
P00297,Skincare Essential 0297,Skincare,54.37,36.09,622,78478.23,135,47772.47,30705.759999999995,0.3912646857606243
P00556,Fashion Accessories Essential 0556,Fashion Accessories,53.2,57.63,590,78300.51,142,40185.85,38114.659999999996,0.48677409636284613
P00347,Fashion Accessories Essential 0347,Fashion Accessories,54.53,49.18,893,77153.11,92,39246.56,37906.55,0.49131590418066107
P00360,Wellness Essential 0360,Wellness,57.63,64.8,546,77137.91,151,45329.090000000004,31808.82,0.41236300024203404
P00085,Fashion Accessories Essential 0085,Fashion Accessories,68.58,65.13,527,76630.24,156,39400.03,37230.21000000001,0.4858422732331258
P00237,Hair Care Essential 0237,Hair Care,72.51,74.64,412,76167.87,197,50273.25,25894.619999999995,0.33996775805861446
P00047,Fashion Accessories Essential 0047,Fashion Accessories,69.43,69.13,498,75475.43,161,38512.75,36962.67999999999,0.4897312940118393
P00573,Wellness Essential 0573,Wellness,65.84,67.25,515,75301.48,156,44275.1,31026.379999999997,0.4120288206818777
P00371,Wellness Essential 0371,Wellness,77.52,79.19,396,74455.95,200,43532.04,30923.909999999996,0.41533161553912074
P00656,Makeup Essential 0656,Makeup,79.19,52.02,333,73781.31,235,40577.35,33203.96,0.45003212873287285
P00414,Fashion Accessories Essential 0414,Fashion Accessories,64.22,57.3,629,73550.52,124,37521.4,36029.12,0.48985540822824913
P00092,Wellness Essential 0092,Wellness,61.9,64.47,642,73015.61,122,43092.2,29923.410000000003,0.4098220914678382
P00761,Wellness Essential 0761,Wellness,22.18,34.77,1993,72905.67,39,42932.29,29973.379999999997,0.4111254995667689
P00521,Skincare Essential 0521,Skincare,53.5,34.43,700,72856.77,111,44370.44,28486.33,0.3909908440903982
P00141,Skincare Essential 0141,Skincare,56.87,34.79,628,72814.22,123,43847.84,28966.380000000005,0.3978121306525017
P00580,Skincare Essential 0580,Skincare,38.24,26.95,993,72618.05,78,43916.69,28701.36,0.39523727227596994
P00313,Makeup Essential 0313,Makeup,67.94,48.47,323,72389.16,240,40305.58,32083.58,0.44320972919149776
P00545,Skincare Essential 0545,Skincare,65.1,42.21,503,72274.17,155,44602.64,27671.53,0.3828688727936965
P00621,Skincare Essential 0621,Skincare,61.63,49.08,435,71972.65,176,43629.94,28342.709999999992,0.3937983386744825
P00331,Makeup Essential 0331,Makeup,79.87,61.39,245,71885.8,312,39852.08,32033.72,0.44561957994485696
P00395,Makeup Essential 0395,Makeup,61.51,47.0,556,71831.85,139,40242.54,31589.310000000005,0.43976745691500363
P00659,Feminine Care Essential 0659,Feminine Care,72.02,76.65,459,71766.06,167,50671.47,21094.589999999997,0.2939354619718568
P00734,Hair Care Essential 0734,Hair Care,56.88,63.55,848,71657.53,90,47257.05,24400.479999999996,0.3405152256852838
P00116,Skincare Essential 0116,Skincare,80.17,55.09,390,71652.73,197,43882.47,27770.259999999995,0.38756736833334887
P00216,Feminine Care Essential 0216,Feminine Care,66.35,74.09,510,71526.17,149,50150.03,21376.14,0.2988576069430252
P00663,Feminine Care Essential 0663,Feminine Care,66.98,74.21,583,71491.83,131,50342.98,21148.85,0.2958219141963494
P00337,Makeup Essential 0337,Makeup,54.37,44.87,740,71338.26,104,39905.83,31432.429999999993,0.4406111110643853
P00768,Hair Care Essential 0768,Hair Care,80.53,78.66,341,71306.96,223,47313.89,23993.070000000007,0.33647585032372723
P00570,Skincare Essential 0570,Skincare,66.08,48.67,442,71255.24,173,43811.7,27443.540000000008,0.38514416623956366
P00231,Fashion Accessories Essential 0231,Fashion Accessories,48.0,51.12,647,70828.48,118,36612.62,34215.85999999999,0.48308053483570446
P00159,Wellness Essential 0159,Wellness,75.51,85.86,245,70608.96,307,41282.68,29326.280000000006,0.41533369136154963
P00107,Skincare Essential 0107,Skincare,46.26,25.48,1173,70331.4,64,42619.72,27711.679999999993,0.3940157596749104
P00413,Hair Care Essential 0413,Hair Care,72.73,73.33,430,69786.02,173,46246.29,23539.730000000003,0.33731297471900534
P00177,Feminine Care Essential 0177,Feminine Care,76.35,77.66,386,68646.24,190,48495.43,20150.810000000005,0.29354572078528995
P00749,Makeup Essential 0749,Makeup,78.28,52.24,360,68568.37,204,38397.02,30171.35,0.44001848082432177
P00225,Skincare Essential 0225,Skincare,62.1,36.83,515,68188.75,141,41499.74,26689.010000000002,0.39139902109952157
P00114,Hair Care Essential 0114,Hair Care,59.43,70.04,562,67968.2,129,44965.53,23002.67,0.3384328259391892
P00588,Wellness Essential 0588,Wellness,37.87,43.88,1265,67605.29,57,39873.37,27731.91999999999,0.4102034027218875
P00319,Fashion Accessories Essential 0319,Fashion Accessories,59.32,55.99,579,67401.75,125,34742.47,32659.28,0.4845464694907773
P00220,Fashion Accessories Essential 0220,Fashion Accessories,55.92,54.5,754,67366.15,95,34310.1,33056.049999999996,0.4906922838844137
P00432,Wellness Essential 0432,Wellness,27.92,42.64,1162,67306.64,62,39731.77,27574.870000000003,0.40969018807059754
P00637,Hair Care Essential 0637,Hair Care,48.01,59.1,891,67247.25,80,44159.3,23087.949999999997,0.34332928112301986
P00228,Hair Care Essential 0228,Hair Care,53.14,63.52,612,67077.38,117,44345.7,22731.680000000008,0.338887416294435
P00084,Fashion Accessories Essential 0084,Fashion Accessories,49.66,51.16,904,66265.5,79,34306.6,31958.9,0.4822856539224785
P00516,Makeup Essential 0516,Makeup,59.45,47.25,534,65978.95,133,36941.97,29036.979999999996,0.44009460593113403
P00236,Makeup Essential 0236,Makeup,65.41,48.11,520,65284.26,134,36280.27,29003.990000000005,0.44427232536602246
P00221,Skincare Essential 0221,Skincare,56.48,35.54,786,65053.29,89,39925.26,25128.03,0.3862683962640475
P00566,Hair Care Essential 0566,Hair Care,77.19,82.84,223,65025.0,312,43104.43,21920.57,0.3371098808150711
P00103,Makeup Essential 0103,Makeup,75.58,52.88,332,64741.81,207,35775.23,28966.579999999994,0.4474169010721201
P00799,Skincare Essential 0799,Skincare,72.01,61.78,296,64564.41,232,39089.17,25475.240000000005,0.3945709408635501
P00690,Wellness Essential 0690,Wellness,57.38,55.09,815,64508.020000000004,84,37521.64,26986.380000000005,0.4183414713395327
P00249,Feminine Care Essential 0249,Feminine Care,67.34,74.35,390,64377.81,175,44844.24,19533.57,0.3034208526198701
P00671,Fashion Accessories Essential 0671,Fashion Accessories,41.39,41.03,754,64211.7,90,32686.94,31524.76,0.4909504031196807
P00681,Hair Care Essential 0681,Hair Care,63.1,66.72,432,64174.25,159,42592.61,21581.64,0.33629750250295093
P00654,Fashion Accessories Essential 0654,Fashion Accessories,49.03,52.48,601,64116.74,113,32579.1,31537.64,0.4918784080413321
P00786,Feminine Care Essential 0786,Feminine Care,73.14,73.5,288,63633.61,236,44845.72,18787.89,0.29525104736317803
P00275,Wellness Essential 0275,Wellness,42.11,43.42,1287,63611.32,53,37588.51,26022.809999999998,0.40909086621689345
P00101,Fashion Accessories Essential 0101,Fashion Accessories,45.84,48.71,796,63068.81,84,32223.68,30845.129999999997,0.4890710638110977
P00779,Makeup Essential 0779,Makeup,67.19,48.87,331,62756.51,203,35026.11,27730.4,0.4418728829885537
P00086,Skincare Essential 0086,Skincare,47.63,33.11,541,62638.19,123,37875.91,24762.28,0.3953224063466712
P00498,Skincare Essential 0498,Skincare,66.72,45.63,445,62452.4,150,38060.77,24391.630000000005,0.3905635331868752
P00463,Wellness Essential 0463,Wellness,61.84,57.09,677,61733.340000000004,98,36600.8,25132.54,0.4071145348688407
P00149,Skincare Essential 0149,Skincare,37.19,27.15,1078,61643.83,61,37529.87,24113.96,0.3911820534188093
P00397,Skincare Essential 0397,Skincare,33.46,27.47,826,61630.18,80,37868.45,23761.730000000003,0.38555347396356787
P00290,Skincare Essential 0290,Skincare,70.85,48.73,453,61402.94,145,37642.86,23760.08,0.38695345858032204
P00043,Skincare Essential 0043,Skincare,48.53,30.25,874,61199.17,75,37183.1,24016.07,0.3924247665450365
P00634,Skincare Essential 0634,Skincare,57.38,35.75,514,60867.42,126,36967.07,23900.35,0.39266244568933595
P00796,Skincare Essential 0796,Skincare,69.68,49.33,342,60736.87,189,36689.39,24047.480000000003,0.39592886495468077
P00434,Makeup Essential 0434,Makeup,46.43,40.92,656,60637.71,98,33393.27,27244.440000000002,0.44929862951618726
P00526,Skincare Essential 0526,Skincare,68.51,47.53,461,60150.92,139,36538.55,23612.369999999995,0.39255210061624984
P00430,Fashion Accessories Essential 0430,Fashion Accessories,47.13,48.2,651,59290.25,97,30451.34,28838.91,0.4864022330821678
P00064,Fashion Accessories Essential 0064,Fashion Accessories,51.86,53.48,759,58857.87,83,30121.82,28736.050000000003,0.4882278274765975
P00102,Feminine Care Essential 0102,Feminine Care,79.04,70.29,290,58830.81,216,41386.95,17443.86,0.2965089210908366
P00603,Wellness Essential 0603,Wellness,57.4,58.49,717,58625.96,87,34201.69,24424.269999999997,0.4166118559082017
P00262,Hair Care Essential 0262,Hair Care,54.83,68.02,536,58262.76,116,38495.69,19767.07,0.3392745211521047
P00459,Fashion Accessories Essential 0459,Fashion Accessories,53.03,50.69,861,58134.03,72,29657.5,28476.53,0.48984269626585325
P00506,Makeup Essential 0506,Makeup,56.29,46.33,619,58075.08,99,31889.61,26185.47,0.45088995142150473
P00060,Skincare Essential 0060,Skincare,73.99,57.65,240,58029.17,258,35223.69,22805.479999999996,0.3930002789976144
P00132,Makeup Essential 0132,Makeup,59.76,48.0,522,57994.9,119,32436.86,25558.04,0.4406946128021602
P00127,Skincare Essential 0127,Skincare,49.03,28.16,589,57787.33,105,35156.09,22631.240000000005,0.39162979151312244
P00494,Makeup Essential 0494,Makeup,73.89,48.56,362,57725.84,169,31785.77,25940.069999999996,0.44936669609311874
P00537,Fashion Accessories Essential 0537,Fashion Accessories,57.79,56.31,529,57681.63,117,29668.96,28012.67,0.4856428294415397
P00514,Fashion Accessories Essential 0514,Fashion Accessories,53.31,62.92,455,57294.67,135,29451.04,27843.629999999997,0.48597242989618405
P00593,Makeup Essential 0593,Makeup,62.35,47.25,571,57277.22,107,31803.69,25473.530000000002,0.44474103317165187
P00576,Wellness Essential 0576,Wellness,61.31,73.05,370,57180.87,164,33340.76,23840.11,0.41692457634869845
P00201,Skincare Essential 0201,Skincare,57.27,30.84,621,57093.85,99,35180.37,21913.479999999996,0.38381506939889315
P00725,Makeup Essential 0725,Makeup,51.76,45.96,644,56882.23,94,31238.76,25643.470000000005,0.4508168895628741
P00392,Hair Care Essential 0392,Hair Care,66.38,69.45,581,56496.55,103,37119.22,19377.33,0.342982536101762
P00066,Makeup Essential 0066,Makeup,68.3,45.15,474,55987.93,127,31342.16,24645.77,0.44019791408612535
P00233,Wellness Essential 0233,Wellness,55.57,58.53,513,55546.6,116,32693.78,22852.82,0.4114170804333659
P00268,Skincare Essential 0268,Skincare,55.65,31.51,744,55377.74,80,33729.37,21648.369999999995,0.39092187582953
P00710,Wellness Essential 0710,Wellness,59.07,56.31,608,55317.02,96,32145.38,23171.639999999996,0.4188880745925937
P00304,Makeup Essential 0304,Makeup,63.08,43.85,386,55310.18,155,31192.04,24118.14,0.43605245905907375
P00565,Fashion Accessories Essential 0565,Fashion Accessories,40.53,41.27,1111,55230.020000000004,53,28161.22,27068.800000000003,0.4901102697409851
P00714,Skincare Essential 0714,Skincare,53.67,34.21,596,55103.39,98,33076.47,22026.92,0.3997380197479683
P00358,Skincare Essential 0358,Skincare,54.73,37.54,474,54954.62,124,33504.21,21450.410000000003,0.3903295118772544
P00386,Fashion Accessories Essential 0386,Fashion Accessories,41.35,37.81,1456,54854.45,40,27931.74,26922.709999999995,0.4908026604951831
P00505,Wellness Essential 0505,Wellness,59.72,59.12,585,54183.549999999996,99,31818.21,22365.339999999997,0.412769927404166
P00424,Skincare Essential 0424,Skincare,64.47,47.01,334,54072.02,173,32990.9,21081.119999999995,0.3898711385296868
P00017,Makeup Essential 0017,Makeup,61.81,46.7,364,53917.74,158,29860.24,24057.499999999996,0.44618895376549533
P00384,Makeup Essential 0384,Makeup,67.9,41.71,425,53647.76,134,29549.79,24097.97,0.4491887452523647
P00733,Makeup Essential 0733,Makeup,50.6,44.67,516,53441.24,110,29570.5,23870.739999999998,0.44667264457186995
P00042,Hair Care Essential 0042,Hair Care,63.95,70.08,418,53290.159999999996,136,35217.28,18072.879999999997,0.33914103466756335
P00174,Fashion Accessories Essential 0174,Fashion Accessories,58.2,51.08,762,52928.01,75,27471.13,25456.88,0.4809717954633095
P00186,Skincare Essential 0186,Skincare,50.48,27.8,678,52852.54,83,32162.64,20689.9,0.39146462970370016
P00608,Fashion Accessories Essential 0608,Fashion Accessories,63.72,64.44,445,52713.86,126,26953.41,25760.45,0.48868456986454795
P00074,Hair Care Essential 0074,Hair Care,70.63,70.39,519,52419.29,109,35056.43,17362.86,0.33123035432185366
P00658,Makeup Essential 0658,Makeup,48.16,45.06,515,52079.83,108,28886.88,23192.95,0.44533459498619715
P00071,Skincare Essential 0071,Skincare,53.78,34.74,455,51951.24,121,31397.16,20554.079999999998,0.3956417594652216
P00757,Wellness Essential 0757,Wellness,58.55,59.49,635,51880.47,86,29887.56,21992.91,0.42391501079307875
P00230,Feminine Care Essential 0230,Feminine Care,53.76,64.93,398,51528.8,138,36242.23,15286.57,0.2966607023645029
P00009,Wellness Essential 0009,Wellness,54.47,53.32,600,51476.91,92,30346.43,21130.480000000003,0.410484623105777
P00679,Skincare Essential 0679,Skincare,66.67,47.17,317,51471.28,174,31458.86,20012.42,0.3888075058556927
P00635,Wellness Essential 0635,Wellness,45.32,50.64,903,51447.03,61,30304.52,21142.51,0.41095686184411423
P00661,Fashion Accessories Essential 0661,Fashion Accessories,30.89,40.33,857,51360.42,64,26539.6,24820.82,0.4832674654919099
P00267,Makeup Essential 0267,Makeup,46.31,37.98,638,51333.79,86,28516.39,22817.4,0.4444908509580142
P00125,Skincare Essential 0125,Skincare,64.47,42.6,406,51251.56,135,31169.86,20081.699999999997,0.39182612197560424
P00404,Skincare Essential 0404,Skincare,59.36,42.9,352,51245.3,155,31217.829999999998,20027.470000000005,0.39081574310229433
